timestamp,src_ip,dst_ip,status,risk
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.42,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.42,Anomaly Detected!,High
2026-02-22 21:09:16,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:09:16,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:09:15,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:09:15,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:09:15,10.0.2.15,192.168.100.1,Anomaly Detected!,High
2026-02-22 21:09:12,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:09:12,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:08:45,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:08:45,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:08:45,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:08:45,142.250.202.164,10.0.2.15,Anomaly Detected!,High
2026-02-22 21:08:18,10.0.2.15,142.250.202.164,Anomaly Detected!,High
2026-02-22 21:08:18,142.250.202.164,10.0.2.15,Anomaly Detected!,High
